question_id,question_text,clone_type,alpha,base_jaccard_mean,base_spearman_mean,base_kendall_mean,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.01,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.6949376569861939,0.6744186046511628,0.46938775510204084,0.9645970897986824,0.8840342678470688
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.1,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.6949376569861939,0.6744186046511628,0.46938775510204084,0.9645970897986824,0.8840342678470688
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.2,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.724010435372184,0.7142857142857143,0.5,0.9743368599627377,0.9025857925464413
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.3,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7595460997378618,0.7560975609756098,0.5652173913043478,0.9831914883031859,0.9223433886665757
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.4,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7611810356376371,0.7560975609756098,0.5652173913043478,0.9832471120871465,0.922705993021589
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.5,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7478665837407877,0.7560975609756098,0.5319148936170213,0.9804208173979669,0.9159155101198124
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.6,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7450843578351927,0.7560975609756098,0.5319148936170213,0.9802314475600195,0.9152357781239931
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.7,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7365339046839746,0.7560975609756098,0.5319148936170213,0.9781646187447015,0.9105701299230271
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.8,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7302744621441005,0.7142857142857143,0.5,0.9765675239579641,0.9071002976035836
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,0.9,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7257168575170249,0.7142857142857143,0.5,0.9753017469935564,0.9044341493248745
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,1.0,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7222055444996164,0.7142857142857143,0.5,0.9742778173552503,0.9023226219262476
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,1.1,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7193854704097726,0.7142857142857143,0.5,0.9734292745277969,0.9006011938870258
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,1.2,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.717149748467455,0.7142857142857143,0.5,0.9727177718562607,0.899182897134299
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,1.3,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7152058252521156,0.7142857142857143,0.5,0.9721100569549033,0.8979840399286406
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,1.4,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7135401148097033,0.7142857142857143,0.5,0.9715866335104902,0.8969616232750972
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,1.5,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7121878202567806,0.7142857142857143,0.5,0.9711319733591067,0.8960807178314754
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,1.8,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7091787072224129,0.7142857142857143,0.46938775510204084,0.9700632754122444,0.8940358174436983
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,2.1,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7069969913906492,0.7142857142857143,0.46938775510204084,0.9692872461716295,0.8925765596237357
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,2.4,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7054811975741774,0.7142857142857143,0.46938775510204084,0.9687040442114971,0.8914914317833065
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,2.7,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7043087808383375,0.7142857142857143,0.46938775510204084,0.9682495965456938,0.8906515937919935
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,negation_hard,3.0,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.7033529298674188,0.7142857142857143,0.46938775510204084,0.9678826790847044,0.8899800855802087
